,Title,Year,Audience,Runtime,Rating,Earnings,Color,Genres,G_Action,G_Adventure,G_Animation,G_Biography,G_Comedy,G_Crime,G_Documentary,G_Drama,G_Family,G_Fantasy,G_History,G_Horror,G_Music,G_Musical,G_Mystery,G_Romance,G_SciFi,G_Thriller,G_War,G_Western
118,F9: The Fast Saga,2021,PG-13,143,5.2,726229501,#a79394,"['Action', 'Crime', 'Thriller']",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
119,Gravity,2013,PG-13,91,7.7,723192705,#0e2338,"['Action', 'Drama', 'Sci-Fi']",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
120,Captain America: The Winter Soldier,2014,PG-13,136,7.8,714421503,#111618,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
121,The Twilight Saga: Breaking Dawn - Part 1,2011,PG-13,117,4.9,712205856,#6d3e2b,"['Adventure', 'Drama', 'Fantasy']",False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
122,The Twilight Saga: New Moon,2009,PG-13,130,4.7,711025481,#4b3724,"['Adventure', 'Drama', 'Fantasy']",False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
123,Dawn of the Planet of the Apes,2014,PG-13,130,7.6,710644566,#b4c8bb,"['Action', 'Adventure', 'Drama']",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
124,Transformers,2007,PG-13,144,7.1,709709780,#b0633e,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
125,The Amazing Spider-Man 2,2014,PG-13,142,6.6,708982323,#653941,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
126,It,2017,R,135,7.3,701796444,#79403e,['Horror'],False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
127,Interstellar,2014,PG-13,169,8.7,701729206,#b5c2c9,"['Adventure', 'Drama', 'Sci-Fi']",False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
128,The Wandering Earth,2019,TV-MA,125,5.9,699992512,#bbbec5,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
129,The Twilight Saga: Eclipse,2010,PG-13,124,5,698491347,#162229,"['Action', 'Adventure', 'Drama']",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
130,Mission: Impossible - Ghost Protocol,2011,PG-13,132,7.4,694713380,#dab675,"['Action', 'Adventure', 'Thriller']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
131,The Hunger Games,2012,PG-13,142,7.2,694394724,#903116,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
132,Detective Chinatown 3,2021,R,136,5.6,686257563,#94b2bb,"['Action', 'Adventure', 'Comedy']",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
133,Mission: Impossible - Rogue Nation,2015,PG-13,131,7.4,682716636,#cb945a,"['Action', 'Adventure', 'Thriller']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
134,Forrest Gump,1994,PG-13,142,8.8,678226133,#351f20,"['Drama', 'Romance']",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
135,Doctor Strange,2016,PG-13,115,7.5,677796076,#7d8aa3,"['Action', 'Adventure', 'Fantasy']",True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
136,The Sixth Sense,1999,PG-13,107,8.2,672806432,#281c1a,"['Drama', 'Mystery', 'Thriller']",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
137,Man of Steel,2013,PG-13,143,7.1,668045518,#596f79,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
138,Ice Age: The Meltdown,2006,PG,91,6.8,667094506,#167c8e,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
139,Kung Fu Panda 2,2011,PG,90,7.2,665692281,#f4c50c,"['Animation', 'Action', 'Adventure']",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
140,The Hunger Games: Mockingjay - Part 2,2015,PG-13,137,6.5,658344137,#c4230b,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
141,Justice League,2017,PG-13,120,6.1,657926987,#852622,"['Action', 'Adventure', 'Fantasy']",True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
142,Big Hero 6,2014,PG,102,7.8,657869686,#a7b6c5,"['Animation', 'Action', 'Adventure']",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
143,Fantastic Beasts: The Crimes of Grindelwald,2018,PG-13,134,6.5,654855901,#c5cfd1,"['Adventure', 'Family', 'Fantasy']",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
144,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,8.1,654264015,#5f4436,"['Action', 'Adventure', 'Fantasy']",True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
145,Star Wars: Episode II - Attack of the Clones,2002,PG,142,6.6,653779970,#c27c52,"['Action', 'Adventure', 'Fantasy']",True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
146,Thor: The Dark World,2013,PG-13,112,6.8,644783140,#253e49,"['Action', 'Adventure', 'Fantasy']",True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
147,Moana,2016,PG,107,7.6,644136488,#0f97b3,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148,Sing,2016,PG,108,7.1,634208384,#cba265,"['Animation', 'Comedy', 'Family']",False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
149,Kung Fu Panda,2008,PG,92,7.6,631746197,#e0230e,"['Animation', 'Action', 'Adventure']",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
150,The Incredibles,2004,PG,115,8.1,631607053,#b42715,"['Animation', 'Action', 'Adventure']",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
151,The Martian,2015,PG-13,144,8,630162448,#8f7466,"['Adventure', 'Drama', 'Sci-Fi']",False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
152,Hancock,2008,PG-13,92,6.4,629443428,#785a53,"['Action', 'Drama', 'Fantasy']",True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
153,Fast Five,2011,PG-13,130,7.3,626137675,#2f6088,"['Action', 'Adventure', 'Crime']",True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
154,Men in Black 3,2012,PG-13,106,6.8,624026776,#6b6062,"['Action', 'Adventure', 'Comedy']",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155,Iron Man 2,2010,PG-13,124,7,623933331,#614638,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
156,Ratatouille,2007,G,111,8.1,623726085,#87776f,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
